x,y
360,357
386,354
444,361
454,359
563,357
369,352
722,370
379,364
663,383
754,366
733,383
678,365
644,352
708,354
486,346
430,356
355,347
416,356
401,349
352,394
611,352
634,352
622,353
469,352
420,346
588,350
520,349
535,350
688,362
619,379
630,375
652,370
556,348
463,383
748,388
412,371
740,356
721,383
366,376
501,347
724,356
757,353
473,375
350,360
422,369
360,384
457,346
443,350
731,394
713,394
718,407
702,398
441,386
578,375
697,368
694,379
662,348
673,356
695,349
677,384
732,364
398,367
552,365
573,365
601,354
575,347
643,364
655,360
747,410
710,380
740,372
680,346
488,361
476,362
355,406
584,401
757,383
433,346
645,381
733,407
494,375
451,370
433,373
623,364
340,347
478,346
390,357
321,365
704,355
342,358
536,348
313,354
685,366
618,351
491,347
453,356
430,348
665,346
687,348
402,351
368,354
326,356
650,380
706,388
467,350
707,365
696,378
676,354
594,347
422,367
381,352
333,365
325,375
588,358
315,380
516,346
683,407
697,405
603,359
550,346
415,353
354,348
541,359
572,371
627,378
638,376
435,365
333,395
391,388
361,398
327,346
604,372
655,351
318,395
325,386
307,392
574,352
385,373
583,380
644,363
562,391
575,388
685,382
659,403
692,357
390,347
453,370
362,378
564,346
667,365
605,347
312,405
672,374
693,388
697,368
551,379
401,362
377,367
635,355
