Bounce Points (x, y):
Point 1: (360, 357)
Point 2: (386, 354)
Point 3: (444, 361)
Point 4: (454, 359)
Point 5: (563, 357)
Point 6: (369, 352)
Point 7: (722, 370)
Point 8: (379, 364)
Point 9: (663, 383)
Point 10: (754, 366)
Point 11: (733, 383)
Point 12: (678, 365)
Point 13: (644, 352)
Point 14: (708, 354)
Point 15: (486, 346)
Point 16: (430, 356)
Point 17: (355, 347)
Point 18: (416, 356)
Point 19: (401, 349)
Point 20: (352, 394)
Point 21: (611, 352)
Point 22: (634, 352)
Point 23: (622, 353)
Point 24: (469, 352)
Point 25: (420, 346)
Point 26: (588, 350)
Point 27: (520, 349)
Point 28: (535, 350)
Point 29: (688, 362)
Point 30: (619, 379)
Point 31: (630, 375)
Point 32: (652, 370)
Point 33: (556, 348)
Point 34: (463, 383)
Point 35: (748, 388)
Point 36: (412, 371)
Point 37: (740, 356)
Point 38: (721, 383)
Point 39: (366, 376)
Point 40: (501, 347)
Point 41: (724, 356)
Point 42: (757, 353)
Point 43: (473, 375)
Point 44: (350, 360)
Point 45: (422, 369)
Point 46: (360, 384)
Point 47: (457, 346)
Point 48: (443, 350)
Point 49: (731, 394)
Point 50: (713, 394)
Point 51: (718, 407)
Point 52: (702, 398)
Point 53: (441, 386)
Point 54: (578, 375)
Point 55: (697, 368)
Point 56: (694, 379)
Point 57: (662, 348)
Point 58: (673, 356)
Point 59: (695, 349)
Point 60: (677, 384)
Point 61: (732, 364)
Point 62: (398, 367)
Point 63: (552, 365)
Point 64: (573, 365)
Point 65: (601, 354)
Point 66: (575, 347)
Point 67: (643, 364)
Point 68: (655, 360)
Point 69: (747, 410)
Point 70: (710, 380)
Point 71: (740, 372)
Point 72: (680, 346)
Point 73: (488, 361)
Point 74: (476, 362)
Point 75: (355, 406)
Point 76: (584, 401)
Point 77: (757, 383)
Point 78: (433, 346)
Point 79: (645, 381)
Point 80: (733, 407)
Point 81: (494, 375)
Point 82: (451, 370)
Point 83: (433, 373)
Point 84: (623, 364)
Point 1: (340, 347)
Point 2: (478, 346)
Point 3: (390, 357)
Point 4: (321, 365)
Point 5: (704, 355)
Point 6: (342, 358)
Point 7: (536, 348)
Point 8: (313, 354)
Point 9: (685, 366)
Point 10: (618, 351)
Point 11: (491, 347)
Point 12: (453, 356)
Point 13: (430, 348)
Point 14: (665, 346)
Point 15: (687, 348)
Point 16: (402, 351)
Point 17: (368, 354)
Point 18: (326, 356)
Point 19: (650, 380)
Point 20: (706, 388)
Point 21: (467, 350)
Point 22: (707, 365)
Point 23: (696, 378)
Point 24: (676, 354)
Point 25: (594, 347)
Point 26: (422, 367)
Point 27: (381, 352)
Point 28: (333, 365)
Point 29: (325, 375)
Point 30: (588, 358)
Point 31: (315, 380)
Point 32: (516, 346)
Point 33: (683, 407)
Point 34: (697, 405)
Point 35: (603, 359)
Point 36: (550, 346)
Point 37: (415, 353)
Point 38: (354, 348)
Point 39: (541, 359)
Point 40: (572, 371)
Point 41: (627, 378)
Point 42: (638, 376)
Point 43: (435, 365)
Point 44: (333, 395)
Point 45: (391, 388)
Point 46: (361, 398)
Point 47: (327, 346)
Point 48: (604, 372)
Point 49: (655, 351)
Point 50: (318, 395)
Point 51: (325, 386)
Point 52: (307, 392)
Point 53: (574, 352)
Point 54: (385, 373)
Point 55: (583, 380)
Point 56: (644, 363)
Point 57: (562, 391)
Point 58: (575, 388)
Point 59: (685, 382)
Point 60: (659, 403)
Point 61: (692, 357)
Point 62: (390, 347)
Point 63: (453, 370)
Point 64: (362, 378)
Point 65: (564, 346)
Point 66: (667, 365)
Point 67: (605, 347)
Point 68: (312, 405)
Point 69: (672, 374)
Point 70: (693, 388)
Point 71: (697, 368)
Point 72: (551, 379)
Point 73: (401, 362)
Point 74: (377, 367)
Point 75: (635, 355)
