Bounce Points (x, y):
Point 1: (340, 347)
Point 2: (478, 346)
Point 3: (390, 357)
Point 4: (321, 365)
Point 5: (704, 355)
Point 6: (342, 358)
Point 7: (536, 348)
Point 8: (313, 354)
Point 9: (685, 366)
Point 10: (618, 351)
Point 11: (491, 347)
Point 12: (453, 356)
Point 13: (430, 348)
Point 14: (665, 346)
Point 15: (687, 348)
Point 16: (402, 351)
Point 17: (368, 354)
Point 18: (326, 356)
Point 19: (650, 380)
Point 20: (706, 388)
Point 21: (467, 350)
Point 22: (707, 365)
Point 23: (696, 378)
Point 24: (676, 354)
Point 25: (594, 347)
Point 26: (422, 367)
Point 27: (381, 352)
Point 28: (333, 365)
Point 29: (325, 375)
Point 30: (588, 358)
Point 31: (315, 380)
Point 32: (516, 346)
Point 33: (683, 407)
Point 34: (697, 405)
Point 35: (603, 359)
Point 36: (550, 346)
Point 37: (415, 353)
Point 38: (354, 348)
Point 39: (541, 359)
Point 40: (572, 371)
Point 41: (627, 378)
Point 42: (638, 376)
Point 43: (435, 365)
Point 44: (333, 395)
Point 45: (391, 388)
Point 46: (361, 398)
Point 47: (327, 346)
Point 48: (604, 372)
Point 49: (655, 351)
Point 50: (318, 395)
Point 51: (325, 386)
Point 52: (307, 392)
Point 53: (574, 352)
Point 54: (385, 373)
Point 55: (583, 380)
Point 56: (644, 363)
Point 57: (562, 391)
Point 58: (575, 388)
Point 59: (685, 382)
Point 60: (659, 403)
Point 61: (692, 357)
Point 62: (390, 347)
Point 63: (453, 370)
Point 64: (362, 378)
Point 65: (564, 346)
Point 66: (667, 365)
Point 67: (605, 347)
Point 68: (312, 405)
Point 69: (672, 374)
Point 70: (693, 388)
Point 71: (697, 368)
Point 72: (551, 379)
Point 73: (401, 362)
Point 74: (377, 367)
Point 75: (635, 355)
